Data as of 2021-01-03
Symbol,Name,Asset Class,Assets,Avg. Daily Volume,Price,Inverse,Leveraged,Smart Beta,Currency Hedged,1 Week Returns,4 Week Returns,YTD Price Change,1 Year Returns,3 Year Returns,5 Year Returns,1 Week FF,4 Week FF,YTD FF,1 Year FF,3 Year FF,5 Year FF,ETFdb Category,Inception,ER,Annual Dividend Rate,Dividend Date,Dividend, Annual Dividend Yield %, Dividend Frequency, Standard Deviation,P/E Ratio,Beta,5-Day Volatility,20-Day Volatility,50-Day Volatility,200-Day Volatility,Issuer,# of Holdings,% In Top 10,% In Top 15,% In Top 50,ST Cap Gains,LT Cap Gains,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity,Expenses,Performance,Volatility,ETFdb Pro,Dividend,Concentration,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),ESG Exclusion Criteria (%),Sustainable Impact Solutions (%)
SPY,SPDR S&P 500 ETF,Equity,"$329,076,000,000","70,997,313",$373.88,false,false,false,false,1.32%,2.39%,18.33%,18.33%,48.18%,99.96%,"$2,118.318244",-$536.292806,$0.0,"-$26,495.739922","-$34,357.404153","-$4,511.072233",Large Cap Growth Equities,1993-01-22,0.09%,$5.69,2020-12-18,$1.58,1.53%,Quarterly,32.68%,23.79,0.99,196.87%,8.13%,15.62%,17.41%,State Street SPDR,506,27.44%,32.80%,54.29%,35%,15%,1099,$363.03,$373.49,$371.85,$375.28,65.32,A+,A,B,B-,A,A-,A-,5.17,40.84%,33.16%,144.99,7.07%,3.90%
IVV,iShares Core S&P 500 ETF,Equity,"$236,845,000,000","3,987,437",$375.39,false,false,false,false,1.37%,2.45%,18.40%,18.40%,48.82%,100.16%,$335.090175,"-$4,155.85368",$0.0,"$6,335.54425","$33,416.658615","$76,794.545485",Large Cap Growth Equities,2000-05-15,0.03%,$5.91,2020-12-14,$1.61,1.58%,Quarterly,32.84%,24.81,0.99,204.68%,8.14%,15.57%,17.39%,iShares,507,27.69%,33.03%,54.60%,35%,15%,1099,$364.12,$374.72,$373.31,$376.75,65.55,A,A,B,C,A,A,A-,5.17,41.36%,33.23%,145.13,7.05%,3.89%
VTI,Vanguard Total Stock Market ETF,Equity,"$200,022,000,000","3,580,252",$194.64,false,false,false,false,0.94%,3.07%,21.07%,21.07%,49.92%,103.03%,$434.049573,"$4,078.698106",$0.0,"$32,321.842768","$57,486.95408","$71,630.157435",Large Cap Growth Equities,2001-05-31,0.03%,$2.77,2020-12-24,$0.78,1.43%,Quarterly,18.07%,27.7,1.04,211.95%,8.20%,15.61%,17.36%,Vanguard,"3,547",22.01%,26.46%,44.64%,35%,15%,1099,$188.12,$195.00,$193.64,$195.26,67.48,A,A,B-,B-,A,A-,A,5.0,28.08%,30.23%,138.54,6.39%,5.40%
VOO,Vanguard S&P 500 ETF,Equity,"$176,728,000,000","3,030,992",$343.69,false,false,false,false,1.34%,2.43%,18.32%,18.32%,48.44%,100.74%,$707.844871,"$2,193.667141",$0.0,"$21,305.151977","$47,871.370653","$74,036.061283",Large Cap Growth Equities,2010-09-09,0.03%,$5.30,2020-12-22,$1.38,1.55%,Quarterly,30.06%,27.6,0.99,212.12%,8.19%,15.68%,17.42%,Vanguard,512,26.96%,32.25%,53.88%,35%,15%,1099,$333.43,$343.20,$341.82,$344.96,65.41,A,A,B,C+,A,A-,A-,5.17,40.72%,33.13%,145.2,7.09%,3.90%
QQQ,Invesco QQQ,Equity,"$152,394,000,000","35,517,402",$313.74,false,false,false,false,1.35%,3.30%,48.62%,48.62%,106.26%,189.41%,$479.9295,$538.83815,$0.0,"$17,719.2313","$27,085.4669","$25,897.855713",Large Cap Growth Equities,1999-03-10,0.20%,$1.74,2020-12-21,$0.56,0.56%,Quarterly,37.06%,33.66,1.05,40.11%,10.96%,20.79%,25.06%,Invesco,103,51.25%,60.14%,85.80%,35%,15%,1099,$299.71,$315.13,$312.25,$314.73,65.81,A,B+,A,C+,B+,B-,B-,4.33,6.04%,16.08%,38.08,0.60%,9.41%
VEA,Vanguard FTSE Developed Markets ETF,Equity,"$87,644,400,000","8,007,705",$47.21,false,false,false,false,0.94%,2.89%,9.71%,9.71%,14.69%,46.92%,$0.486788,$268.21616,$0.0,"$3,020.170671","$14,330.930029","$42,773.880825",Foreign Large Cap Equities,2007-07-26,0.05%,$1.40,2020-12-21,$0.42,2.96%,Quarterly,4.16%,19.8,0.91,51.89%,9.75%,17.30%,16.23%,Vanguard,"3,955",9.94%,13.03%,26.72%,35%,15%,1099,$45.51,$47.60,$47.04,$47.46,65.26,A,A,B+,B-,A,B,A,7.14,46.04%,84.28%,151.04,9.88%,6.69%
AGG,iShares Core U.S. Aggregate Bond ETF,Bond,"$85,005,800,000","5,392,393",$118.19,false,false,false,false,0.17%,0.34%,7.47%,7.47%,16.67%,22.86%,$165.10666,"$1,307.5793",$0.0,"$12,370.76417","$26,744.95214","$48,930.901855",Total Bond Market,2003-09-22,0.05%,$2.53,2020-12-17,$0.13,2.14%,Monthly,2.59%,N/A,0.24,49.78%,1.81%,2.97%,2.78%,iShares,"9,163",14.72%,16.84%,27.38%,35%,15%,1099,$117.51,$118.16,$118.13,$118.25,59.58,A+,A,A-,A-,A+,B+,A,6.36,71.98%,65.41%,265.24,2.88%,0.93%
IEFA,iShares Core MSCI EAFE ETF,Equity,"$84,487,500,000","8,226,056",$69.09,false,false,false,false,0.73%,2.55%,8.17%,8.17%,13.90%,44.66%,$0.0,$730.62756,$0.0,"$5,373.26754","$37,553.50326","$64,678.991856",Foreign Large Cap Equities,2012-10-18,0.07%,$1.31,2020-12-14,$0.61,1.88%,Semi-Annually,5.97%,17.58,0.88,222.44%,10.06%,17.64%,16.55%,iShares,"2,650",10.14%,13.30%,27.79%,35%,15%,1099,$66.67,$69.86,$68.82,$69.52,63.76,A,A,B+,B,A,B,A,7.25,51.75%,85.94%,134.7,10.76%,7.44%
GLD,SPDR Gold Trust,Commodity,"$70,474,200,000","8,931,821",$178.36,false,false,false,false,1.14%,3.21%,24.81%,24.81%,44.25%,75.86%,$140.508,-$759.1136,$0.0,"$15,348.3032","$18,857.2436","$27,051.8409",Precious Metals,2004-11-18,0.40%,$0.00,N/A,N/A,0.00%,N/A,13.05%,N/A,0.03,87.32%,11.86%,17.11%,18.91%,State Street SPDR,1,100.00%,100.00%,100.00%,35%,28%,1099,$170.99,$178.63,$177.65,$178.73,56.7,A+,B+,B,B+,A-,B-,B-,N/A,N/A,N/A,N/A,N/A,N/A
VWO,Vanguard FTSE Emerging Markets ETF,Equity,"$69,593,200,000","10,293,075",$50.11,false,false,false,false,2.43%,2.86%,15.17%,15.17%,18.54%,74.88%,$129.540382,$738.999631,$0.0,"-$3,219.360043",-$811.574869,"$15,205.782657",Asia Pacific Equities,2005-03-10,0.12%,$1.51,2020-12-21,$0.30,3.03%,Quarterly,4.77%,17.5,0.86,216.51%,12.95%,16.84%,16.33%,Vanguard,"4,030",25.42%,29.25%,42.27%,35%,15%,1099,$48.35,$50.09,$49.82,$50.44,63.24,A,A,B+,B,A,B,A+,4.36,13.89%,16.79%,280.16,2.30%,4.59%
IEMG,iShares Core MSCI Emerging Markets ETF,Equity,"$67,492,900,000","12,681,680",$62.04,false,false,false,false,2.85%,3.81%,17.86%,17.86%,18.13%,78.70%,$0.0,"$3,171.8157",$0.0,-$563.19516,"$20,742.18894","$44,764.505659",Emerging Markets Equities,2012-10-18,0.14%,$1.16,2020-12-14,$0.72,1.87%,Semi-Annually,6.07%,17.19,0.88,227.54%,12.53%,16.51%,16.30%,iShares,"2,505",25.06%,28.61%,41.97%,35%,15%,1099,$59.36,$61.86,$61.69,$62.41,66.37,A,A,B+,B-,A,A-,A,4.57,20.19%,24.05%,274.15,2.41%,4.73%
BND,Vanguard Total Bond Market ETF,Bond,"$68,019,000,000","4,781,426",$88.19,false,false,false,false,0.20%,0.43%,7.71%,7.71%,17.06%,24.43%,$430.63,"$2,111.456",$0.0,"$17,159.234","$27,243.261","$36,987.36",Total Bond Market,2007-04-10,0.04%,$2.10,2020-12-23,$0.29,2.38%,Monthly,2.01%,N/A,0.02,60.14%,1.97%,2.98%,2.93%,Vanguard,"18,369",8.07%,9.95%,20.32%,35%,15%,1099,$87.58,$88.12,$88.12,$88.23,60.21,A,A,A-,B+,A,B-,A+,6.3,59.34%,63.81%,286.43,3.35%,0.96%
VUG,Vanguard Growth ETF,Equity,"$68,176,300,000","758,634",$253.34,false,false,true,false,0.83%,3.37%,40.25%,40.25%,85.80%,149.73%,-$72.862565,$272.166319,$0.0,"$2,466.318175","$7,186.480059","$10,748.232602",Large Cap Growth Equities,2004-01-30,0.04%,$1.68,2020-12-24,$0.46,0.67%,Quarterly,28.59%,42.4,1.04,75.33%,9.77%,19.00%,22.11%,Vanguard,259,44.65%,51.44%,72.19%,35%,15%,1099,$242.39,$255.27,$252.13,$254.16,64.71,A,A,A,C,A-,B-,B+,4.47,10.65%,22.12%,44.29,1.61%,6.24%
IWF,iShares Russell 1000 Growth ETF,Equity,"$64,705,500,000","1,489,979",$241.14,false,false,true,false,0.78%,3.67%,38.25%,38.25%,84.73%,154.12%,$0.0,$272.11742,$0.0,"-$2,860.724595","-$5,631.757145","-$7,260.7088",Large Cap Growth Equities,2000-05-22,0.19%,$1.59,2020-12-14,$0.37,0.66%,Quarterly,26.61%,40.17,1.03,147.52%,9.59%,19.11%,22.32%,iShares,455,44.71%,51.21%,72.36%,35%,15%,1099,$230.17,$243.10,$239.94,$241.96,65.12,A,A-,A,C+,A-,B-,A-,4.39,7.98%,17.42%,29.42,1.33%,6.36%
VTV,Vanguard Value ETF,Equity,"$60,675,600,000","2,138,025",$118.96,false,false,true,false,1.42%,1.74%,2.33%,2.33%,21.55%,65.17%,$45.679897,$844.29067,$0.0,"$5,392.498596","$18,590.493841","$29,110.759001",Large Cap Blend Equities,2004-01-30,0.04%,$3.04,2020-12-24,$0.79,2.58%,Quarterly,9.54%,19.8,0.98,255.34%,10.19%,18.45%,17.04%,Vanguard,332,21.86%,29.28%,58.23%,35%,15%,1099,$116.43,$118.60,$117.99,$119.52,62.82,A,A,B+,B+,A,A-,B+,5.8,75.18%,48.01%,263.57,13.19%,4.00%
IWM,iShares Russell 2000 ETF,Equity,"$57,867,300,000","25,878,988",$196.06,false,false,false,false,-1.48%,6.93%,20.03%,20.03%,33.77%,84.04%,-$24.757325,"$2,417.9545",$0.0,"$2,142.71931","$5,295.328175","$10,114.857635",Small Cap Growth Equities,2000-05-22,0.19%,$2.04,2020-12-14,$0.59,1.04%,Quarterly,22.09%,19.26,1.29,75.49%,16.24%,22.39%,21.81%,iShares,"2,046",4.06%,5.54%,13.84%,35%,15%,1099,$184.21,$201.87,$194.84,$197.06,66.3,A+,B+,B-,B,A-,B+,A,3.91,9.78%,10.44%,126.44,3.96%,6.48%
IJR,iShares Core S&P Small-Cap ETF,Equity,"$55,472,200,000","4,345,431",$91.90,false,false,false,false,-0.18%,5.86%,11.27%,11.27%,25.03%,76.73%,$62.90481,$609.15906,$0.0,"$2,550.42898","$11,727.13398","$22,598.881792",Small Cap Blend Equities,2000-05-22,0.07%,$1.02,2020-12-14,$0.25,1.12%,Quarterly,10.29%,19.2,1.28,103.26%,15.82%,25.43%,23.19%,iShares,603,6.28%,8.77%,22.60%,35%,15%,1099,$87.49,$93.24,$91.21,$92.41,65.39,A+,A,B-,B+,A-,A-,B+,4.12,19.06%,12.76%,96.9,3.29%,5.16%
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,Bond,"$54,991,700,000","12,007,781",$138.13,false,false,false,false,0.26%,0.47%,10.97%,10.97%,25.31%,40.39%,$205.88299,"-$2,641.58986",$0.0,"$14,940.59582","$9,370.34534","$22,678.19421",Corporate Bonds,2002-07-26,0.15%,$3.67,2020-12-17,$0.28,2.67%,Monthly,5.96%,N/A,0.20,84.25%,3.83%,5.75%,5.78%,iShares,"2,286",5.50%,6.46%,11.25%,35%,15%,1099,$136.22,$138.15,$137.99,$138.24,62.66,A+,B,A,C,A,A-,A,6.06,64.68%,55.95%,148.76,10.52%,2.72%
IJH,iShares Core S&P Mid-Cap ETF,Equity,"$53,202,700,000","1,030,714",$229.83,false,false,false,false,-0.37%,4.71%,13.60%,13.60%,27.21%,76.65%,$0.12706,$9.17441,$0.0,"-$4,369.67124","$1,089.852015","$8,511.567603",Small Cap Growth Equities,2000-05-22,0.06%,$2.94,2020-12-14,$0.66,1.28%,Quarterly,23.86%,22.41,1.19,171.31%,12.53%,19.85%,19.28%,iShares,402,7.60%,10.65%,27.28%,35%,15%,1099,$219.67,$232.76,$228.17,$231.19,65.93,A+,A,C+,B,A,A,B+,4.65,49.04%,25.28%,152.91,4.90%,8.13%
EFA,iShares MSCI EAFE ETF,Equity,"$52,996,500,000","21,927,789",$72.96,false,false,false,false,0.83%,2.41%,7.59%,7.59%,13.16%,41.55%,$0.0,$171.84384,$0.0,"-$11,839.1523","-$30,659.61138","-$18,720.6534",Foreign Large Cap Equities,2001-08-14,0.32%,$1.55,2020-12-14,$0.69,2.10%,Semi-Annually,6.16%,18.08,0.86,221.55%,9.91%,17.87%,16.68%,iShares,882,12.05%,15.77%,32.86%,35%,15%,1099,$70.63,$73.69,$72.68,$73.34,63.47,A+,B+,B+,B,A,B,A,7.44,67.25%,88.57%,134.06,11.97%,7.23%
VIG,Vanguard Dividend Appreciation ETF,Equity,"$52,851,600,000","1,302,785",$141.17,false,false,true,false,1.39%,2.39%,15.43%,15.43%,46.50%,98.31%,$42.383793,$356.868968,$0.0,"$4,892.749833","$12,733.985692","$14,460.735466",Large Cap Growth Equities,2006-04-27,0.06%,$2.30,2020-12-21,$0.66,1.64%,Quarterly,11.01%,27.8,0.84,189.82%,8.67%,14.36%,15.03%,Vanguard,216,34.41%,44.28%,78.46%,35%,15%,1099,$137.27,$140.72,$140.27,$141.73,62.82,A,A,A-,B+,A,A-,B,5.54,28.38%,40.77%,183.93,6.79%,2.65%
IWD,iShares Russell 1000 Value ETF,Equity,"$43,409,700,000","2,487,461",$136.73,false,false,true,false,1.22%,2.03%,2.73%,2.73%,18.62%,56.60%,$87.863655,$858.20592,$0.0,"$1,198.31614","-$1,389.43645","$4,707.92218",Large Cap Blend Equities,2000-05-22,0.19%,$2.81,2020-12-14,$0.60,2.07%,Quarterly,11.79%,17.83,1.02,258.96%,9.97%,18.78%,17.48%,iShares,856,16.55%,21.95%,43.34%,35%,15%,1099,$133.79,$136.17,$135.62,$137.38,63.65,A,A-,B+,B+,A,A-,A,5.73,71.56%,45.76%,255.43,11.89%,4.29%
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,Bond,"$42,335,200,000","2,913,668",$97.14,false,false,false,false,0.27%,0.64%,9.45%,9.45%,22.37%,35.80%,$106.549193,$475.010534,$0.0,"$14,666.772535","$20,535.029469","$32,590.317267",Corporate Bonds,2009-11-23,0.05%,$2.70,2020-12-23,$0.39,2.78%,Monthly,3.75%,N/A,0.18,14.21%,2.09%,3.23%,3.25%,Vanguard,"2,024",3.66%,4.95%,12.09%,35%,15%,1099,$96.05,$97.10,$97.08,$97.19,68.53,A,A,B+,B,A,B+,A,6.07,65.43%,56.42%,240.98,9.37%,3.32%
VGT,Vanguard Information Technology ETF,Equity,"$41,390,100,000","568,488",$353.79,false,false,false,false,0.26%,4.91%,46.04%,46.04%,122.39%,242.07%,$70.924,$65.954499,$0.0,"$3,411.967217","$3,713.263872","$7,619.607538",Technology Equities,2004-01-30,0.10%,$2.91,2020-12-17,$0.69,0.82%,Quarterly,41.26%,35.4,1.11,24.62%,12.55%,21.18%,25.11%,Vanguard,345,56.92%,64.52%,83.84%,35%,15%,1099,$333.17,$359.12,$351.80,$355.09,65.12,A,A,A-,B-,A+,A-,A+,4.93,48.98%,29.14%,21.21,0.54%,3.25%
VO,Vanguard Mid-Cap Index ETF,Equity,"$41,100,300,000","638,086",$206.77,false,false,false,false,-0.15%,2.78%,18.10%,18.10%,40.40%,85.17%,$43.017855,-$83.442611,$0.0,"$5,949.047972","$9,227.752842","$13,786.838392",Mid Cap Growth Equities,2004-01-30,0.04%,$3.00,2020-12-24,$0.94,1.45%,Quarterly,20.55%,27.2,1.12,236.45%,9.90%,15.90%,16.84%,Vanguard,348,7.79%,11.04%,30.74%,35%,15%,1099,$201.06,$208.41,$205.49,$207.59,65.55,A-,A+,B-,B-,B,A,B-,5.23,74.38%,34.49%,242.67,4.38%,6.52%
VXUS,Vanguard Total International Stock ETF,Equity,"$38,159,200,000","3,179,191",$60.16,false,false,false,false,1.35%,2.95%,10.66%,10.66%,15.28%,52.53%,$215.878058,"$1,682.305815",$0.0,"$15,790.992518","$23,719.505966","$27,711.666518",Foreign Large Cap Equities,2011-01-26,0.09%,$1.29,2020-12-21,$0.59,2.12%,Quarterly,5.35%,19.1,0.90,219.52%,9.61%,16.44%,15.50%,Vanguard,"6,940",11.14%,13.77%,25.11%,35%,15%,1099,$58.04,$60.50,$59.93,$60.48,65.27,A,A,A-,B-,A,B,A,6.34,12.12%,64.89%,184.65,7.52%,6.20%
XLK,Technology Select Sector SPDR Fund,Equity,"$38,090,700,000","7,966,060",$130.02,false,false,false,false,0.74%,4.43%,43.61%,43.61%,111.60%,222.14%,$169.621598,-$49.869422,$0.0,$145.046333,-$208.179692,-$661.805521,Technology Equities,1998-12-16,0.13%,$1.20,2020-12-21,$0.30,0.92%,Quarterly,14.72%,28.5,1.06,75.06%,11.95%,21.21%,25.23%,State Street SPDR,74,67.85%,76.79%,96.53%,35%,15%,1099,$122.86,$131.45,$129.20,$130.62,64.5,A+,A,A-,C+,A,A-,B+,5.13,56.01%,32.42%,19.45,0.22%,2.88%
